module output,emotion,label
"You are so bad, why not pick up my call",Anger,Negative
nice to meet you,Happiness,Positive
Are you mad,Anger,Negative
Today was rubbish,Anger,Negative
 Who are you i don't know you,Neutral,Neutral
I am in a meeting now,Neutral,Neutral
 Will talk later,Neutral,Neutral
"How long will it take for you to come, the party has started",Worry,Neutral
You are looking very beautiful,Happiness,Positive
Today we will go to have dinner in the hotel,Surprise,Positive
She is number one crazy woman,Anger,Negative
Don't face him,Anger,Negative
 Were you angry,Neutral,Negative
Didi said see you tomorrow,Neutral,Neutral
Who said that a woman cannot do this work,Anger,Negative
Today we study together,Neutral,Neutral
How was the exam,Neutral,Neutral
 hehehe  it was fun,Fun,Positive
I am going home,Neutral,Neutral
The movie was cool,Relief,Positive
Guests will come to my house so you don't come,Neutral,Negative
 My house is far away,Sadness,Negative
When will the work end,Neutral,Neutral
How is your health now,Neutral,Positive
 Came to your house yesterday,Neutral,Neutral
Chess is a very good game,Fun,Positive
Are you fine,Neutral,Neutral
Don't shout me what i did,Anger,Negative
Guests are god,happiness,Positive
My God is Krishna,Love,Neutral
 We have lots of trees in our house,happiness,Positive
My head is hurting,Sadness,Negative
Shivaji Maharaj was the best king,Happiness,Positive
Can never work with you,Anger,Negative
 How many times did I say don't do this,Anger,Negative
Let's play,Fun,Positive
Do you know if he doesn't have food,Neutral,Neutral
Never gonna do it right,Neutral,Negative
Those people are not honest,Anger,Negative
 How long have i had to talk to you,Neutral,Neutral
Got time now,Relief,Neutral
"As you sow, so you shall reap",enthusiasm,Positive
Whose stick is his buffalo,Neutral,Positive
My attempt failed,Sadness,Negative
Children will be in tension,Empty,Negative
My boyfriend is of no use,Anger,Negative
Today I will take revenge,Anger,Negative
I lost faith in physics,hate,Negative
Why is this happening,Anger,Negative
That girl is so weird,hate,Negative
If it was me then everything would be good,Surprise,Neutral
I lost weight due to diet,Happiness,Positive
Don't act like a monkey,Anger,Negative
How is mom and dad,Neutral,Neutral
Doctor's studies are difficult,Boredom,Negative
 No one can let me down,enthusiasm,Positive
There is still time try again,Surprise,Positive
I will go,Neutral,Neutral
Is it early?,Neutral,Neutral
Nice to meet you,Happiness,Positive
 Will you be friends with me,Neutral,Neutral
Go,Neutral,Neutral
Get out,Anger,Negative
I forgot,Worry,Neutral
Answer Me,Neutral,Neutral
Excuse me,Hate,Negative
 I am getting bored,Boredom,Negative
 I am tired,Empty,Negative
it is cold,Neutral,Neutral
Who knows,Empty,Neutral
go inside,Neutral,Neutral
How are you,Neutral,Neutral
I am not good,Sadness,Negative
I want to say something,Neutral,Neutral
I will come,Neutral,Neutral
I don't like black,Hate,Negative
I do not want to come,Neutral,Neutral
 I need ice cream,Enthusiasm,Positive
 I wanna hang out,Enthusiasm,Positive
Oh oh samba,Happiness,Neutral
How many people are there,Surprise,Neutral
Our brother is crazy,Anger,Negative
Poor heart,Sadness,Negative
sometimes happy some times sad,Neutral,Neutral
I am wrong,Worry,Negative
This youth is crazy,Surprise,Neutral
 You are welcome,Neutral,Neutral
 See ya,Neutral,Neutral
We are going,Neutral,Neutral
Don't say anything,Neutral,Negative
 I can not move,Hate,Neutral
I have the right,Neutral,Neutral
I will wait,Neutral,Neutral
I will be yours,Happiness,Positive
We were not infidel,Sadness,Negative
I'm my favorite one,Happiness,Positive
 I am the doctor,Neutral,Positive
very good,Happiness,Positive
This is book,Empty,Neutral
This is my car,Neutral,Neutral
what do you have,Neutral,Neutral
this is my mom,Neutral,Neutral
 Would you eat your meal,Empty,Neutral
You are a bad person,Neutral,Negative
This is a degraded area,Sadness,Negative
Sometimes i feel my heart,Empty,Neutral
Do you want him to go out,Anger,Neutral
I want to take a shower,Relief,Positive
I want to fly,Fun,Positive
I want to run,Empty,Positive
I want to fall too,Surprise,Positive
Just don't wanna stop,Surprise,Positive
Who am I to you?,Neutral,Neutral
I am with you,Love,Positive
What is your name,Neutral,Positive
Where did you live,Neutral,Positive
What do you do,Empty,Positive
 Will you have water,Neutral,Positive
Beyond belief,Surprise,Positive
Please go,Anger,Negative
Please be quiet,Hate,Negative
 Hello,Empty,Positive
When can we meet again?,Negative,Neutral
Don't give up,Love,Positive
Take care of yourself,Love,Positive
I do not know,Neutral,Neutral
It seems to me,Empty,Neutral
I miss you,Love,Positive
I want to sleep,Relief,Positive
I have a problem,Neutral,Neutral
Do you know that song,Surprise,Neutral
Do you play cricket,Neutral,Neutral
Did you go to school,Neutral,Neutral
You are insulting me,Anger,Negative
I will never forgive you,Anger,Negative
Do you know how to swim,Neutral,Neutral
Can i come in,Empty,Neutral
 will you do me a favor,Empty,Positive
 I beg you,Sadness,Positive
 Keep calm please,Neutral,Positive
Please be cautious,Worry,Positive
Did you say something,Neutral,Neutral
 Which place is this,Enthusiasm ,Neutral
You are very stupid,Hate,Negative
You are enough for me,Neutral,Positive
Time is very strong,Empty,Positive
 Why are you late,Anger,Neutral
Did she come home,Worry,Neutral
Did he come home,Worry,Neutral
The cat went to Haj after eating a hundred rats,Empty,Positive
Not knowing something and blaming others,Boredom,Positive
Enemies of wisdom,Neutral,Neutral
 He is the star of my eyes,Happiness,Positive
Will you have tea,Empty,Positive
Would you like to drink coffee,Empty,Positive
 Where can I go,Neutral,Neutral
Is there a bus stop nearby,Neutral,Neutral
Visit,Empty,Positive
Where is my phone,Worry,Neutral
Where is the toilet,Neutral,Neutral
Can i sit here,Neutral,Neutral
I have to go,Empty,Positive
 I need a pen,Empty,Neutral
Do you know how to speak english,Surprise,Positive
what's going on,Surprise,Positive
Nothing special,Neutral,Neutral
Would you like to watch a movie with us,Neutral,Neutral
We are together,Love,Positive
Look at the desire in my heart,Love,Positive
"Such small things keep happening in big countries, Senorita",Happiness,Positive
The line starts from where we stand,Fun,Positive
 We are your father in a relationship and the name is Emperor,Fun,Positive
Catching Dawn is not only imPositivesible but imPositivesible,Neutral,Positive
Today is my exam,Worry,Positive
We are healthy and efficient,Happiness,Positive
I am proud of you,Happiness,Positive
 This is my family,Neutral,Positive
I have received first prize,Happiness,Positive
Say my greetings to uncle,Neutral,Positive
I want to open a savings account in your bank in my name,Neutral,Neutral
Happy birthday,Happiness,Positive
 Please give me one day off,Boredom,Neutral
Complaint regarding books,Anger,Negative
I am your old customer,Neutral,Neutral
How much is it,Neutral,Neutral
Will go to hospital,Neutral,Neutral
Is this medicine for me,Surprise,Neutral
Have you come from far away,Surprise,Neutral
I don't have phone,Sadness,Negative
Where is your attention,Anger,Neutral
What school do you study,Neutral,Neutral
Missed my car,Relief,Positive
Wow you rocked,Happiness,Positive
Did you see our spaceship,Surprise,Neutral
Dr. Rajendra Prasad was the first President of our country,Empty,Positive
Dad will come to Mumbai tomorrow,Neutral,Positive
"Didi, will you go to the market with me",Neutral,Positive
Students went home from school,Neutral,Neutral
Birds are afraid of dogs,Neutral,Neutral
This dessert is for sister,Love,Positive
I'm thirsty,Hate,Neutral
I will go home early today,Neutral,Neutral
It's been an hour,Neutral,Neutral
the earth goes round the sun,Neutral,Positive
He must have slept by now,Neutral,Neutral
I have left the house,Anger,Neutral
She wants to succeed,Happiness,Positive
She writes well,Enthusiasm,Positive
You sign here,Neutral,Positive
I want to go out,Boredom,Positive
I am happy,Happiness,Positive
 I am sad,Sadness,Negative
Do you know the way to the station,Empty,Neutral
The railway station is near from here,Neutral,Positive
Where do you want to go,Neutral,Neutral
I have come from Poona,Neutral,Neutral
I have come to this city,Neutral,Neutral
Are there any shops near here,Surprise,Neutral
This is our village,Happiness,Neutral
I want to buy something,Enthusiasm,Neutral
Are you new to this village,Enthusiasm,Neutral
Do you know them,Surprise,Neutral
We are all Indians,Neutral,Neutral
We are all citizens of India,Neutral,Neutral
There are many observational sites in India,Neutral,Positive
This person is a doctor,Neutral,Neutral
 They want to be a parent,Happiness,Positive
He is a math expert,Neutral,Neutral
Did you go to the doctor,Neutral,Neutral
This is my soul mate,Love,Neutral
They are our relatives,Neutral,Positive
My uncle is a cloth merchant,Neutral,Neutral
He is an old member of our Laughter Club,Happiness,Positive
This is the young generation of our country,Neutral,Positive
Use of drugs is strictly prohibited here.,Anger,Negative
Doctor has forbidden the use of chili spice foods,Worry,Neutral
Do you take medicine on time,Worry,Negative
Consumption of tobacco is harmful to health,Worry,Negative
 Smoking is strictly prohibited here,Anger,Negative
Drinking alcohol is harmful to health,Neutral,Negative
Please do not add garlic to the vegetable,Neutral,Neutral
Corona epidemic can be avoided by drinking regular decoction,Neutral,Neutral
Honey is good for our skin,Empty,Positive
Consuming celery after meals helps digestion,Empty,Positive
Today we will make glucose products,Neutral,Neutral
Does your shop have cold drinks,Neutral,Neutral
Sea water is salty,Neutral,Neutral
You can add salt as per taste,Neutral,Neutral
"Today we will use black pepper, ginger and lemon juice",Empty,Neutral
Trouble is due to increasing amount of acid in stomach,Anger,Positive
Citrus fruits contain vitamins.,Neutral,Neutral
Mango fruits are found in the summer season,Neutral,Neutral
Basil leaves cure cough,Neutral,Neutral
Sugarcane juice is high in sugar,Neutral,Neutral
Drinking hot water reduces weight quickly,Neutral,Neutral
We should eat green vegetables regularly,Neutral,Positive
So there is no way for me to plug it in here in the US unless I go by a converter,Sadness,Negative
"Good case, Excellent value",Surprise,Positive
Great for the jawbone,enthusiasm,Positive
Tied to charger for conversations lasting more than 45 minutes MAJOR PROBLEMS!!,Sadness,Negative
The mic is great,Happiness,Positive
I have to jiggle the plug to get it to line up right to get decent volume,Anger,Negative
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one",empty,Negative
"If you are Razr owner,you must have this!",Surprise,Positive
"Needless to say, I wasted my money",hate,Negative
What a waste of money and time!,hate,Negative
And the sound quality is great,fun,Positive
He was very impressed when going from the original battery to the extended battery,Surprise,Positive
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset,hate,Negative
Very good quality though,Happiness,Positive
"The design is very odd, as the ear ""clip"" is not very comfortable at all",hate,Negative
Highly recommend for any one who has a blue tooth phone,Happiness,Positive
I advise EVERYONE DO NOT BE FOOLED!,Neutral,Neutral
So Far So Good!,Neutral,Neutral
Works great!,fun,Positive
It clicks into place in a way that makes you wonder how long that mechanism would last,Boredom,Negative
"I went on Motorola's website and followed all directions, but could not get it to pair again",Sadness,Negative
I bought this to use with my Kindle Fire and absolutely loved it!,Surprise,Positive
The commercials are the most misleading,Anger,Negative
I have yet to run this new battery below two bars and that's three days without charging,Neutral,Neutral
I bought it for my mother and she had a problem with the battery,Sadness,Negative
Great Pocket PC / phone combination,Neutral,Neutral
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had,Happiness,Positive
I didn't think that the instructions provided were helpful to me,Neutral,Neutral
People couldnt hear me talk and I had to pull out the earphone and talk on the phone,hate,Negative
Doesn't hold charge,hate,Negative
"This is a simple little phone to use, but the breakage is unacceptible",hate,Negative
This product is ideal for people like me whose ears are very sensitive,happiness,Positive
It is unusable in a moving car at freeway speed,hate,Negative
I have two more years left in this contract and I hate this phone,hate,Negative
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,Surprise,Positive
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short,Sadness,Negative
It has kept up very well,Happiness,Positive
Poor Talk Time Performance,Sadness,Negative
The case is great and works fine with the 680,Relief,Positive
worthless product,hate,Negative
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality",Relief,Positive
I was not impressed by this product,Boredom,Negative
Nice headset priced right,Relief,Positive
I only hear garbage for audio,hate,Negative
Excellent bluetooth headset,Relief,Positive
It has all the features I want,Relief,Positive
Who in their right mind is gonna buy this battery?,Neutral,Neutral
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS,hate,Negative
This case seems well made,Happiness,Positive
Disappointed with battery,Anger,Negative
Not loud enough and doesn't turn on like it should,empty,Negative
good protection and does not make phone too bulky,Relief,Positive
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget,Happiness,Positive
This phone is pretty sturdy and I've never had any large problems with it,neutral,Neutral
I love this thing!,love,Positive
Everything about it is fine and reasonable for the price ie,Relief,Positive
VERY DISAPPOINTED,hate,Negative
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,Surprise,Positive
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end,Happiness,Positive
The buttons for on and off are bad,hate,Negative
Essentially you can forget Microsoft's tech support,Neutral,Neutral
"I really recommend this faceplates since it looks very nice, elegant and cool",Happiness,Positive
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously,Surprise,Positive
Buy a different phone - but not this,hate,Negative
You have to hold the phone at a particular angle for the other party to hear you clearly,Anger,Neutral
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds,Sadness,Neutral
"A week later after I activated it, it suddenly died",Sadness,Negative
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes,Relief,Positive
Great for iPODs too,Happiness,Positive
This device is great in several situations:1),Neutral,Neutral
Mic Doesn't work,Sadness,Negative
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying",Sadness,Negative
Great choice!,Surprise,Positive
Nice docking station for home or work,Happiness,Positive
This is a beautiful phone,Surprise,Positive
Love this product,love,Positive
Do Not Buy for D807,Neutral,Neutral
This is a great little item wrongly advertised for D807,Neutral,Neutral
"I love this phone , It is very handy and has a lot of features ",love,Positive
I purchased this and within 2 days it was no longer working!!!!!!!!!,hate,Negative
I wear it everyday and it holds up very well,happiness,Positive
Not a good bargain,Sadness,Negative
"Well packaged, arrived on time, and works as intended",Happiness,Positive
The battery runs down quickly,hate,Negative
"This item worked great, but it broke after 6 months of use",Anger,Negative
The headsets are easy to use and everyone loves them,love,Positive
This phone works great,Surprise,Positive
The construction of the headsets is poor,Sadness,Negative
Product was excellent and works better than the verizon one and Boy was it cheaper!,Surprise,Positive
The phone loads super!,Surprise,Positive
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does",Sadness,Negative
Made very sturdy,Surprise,Positive
Worked great!,Surprise,Positive
The ear buds only play music in one ear,Sadness,Negative
Dont waste your money,Anger,Negative
Will order from them again!,Happiness,Positive
If you plan to use this in a car forget about it,hate,Negative
I found this product to be waaay too big,Sadness,Negative
Best I've found so far. I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using,Happiness,Positive
I'm very disappointed with my decision,Sadness,Negative
Integrated seamlessly with the Motorola RAZR phone,Happiness,Positive
"Buyer Beware, you could flush money right down the toilet",hate,Negative
Definitely a bargain,Happiness,Positive
The price was very good and with the free shipping and all it was a good purchase,Relief,Positive
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger,,Negative
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more",Happiness,Positive
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case)",Sadness,Negative
"I love my 350 headset.My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit",Happiness,Positive
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution",Sadness,Negative
I purcashed this for the car charger and it does not work,Sadness,Negative
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2",Happiness,Positive
This phone is slim and light and the display is beautiful,Happiness,Positive
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case,Happiness,Positive
"Great product, fast shipping!",Happiness,Positive
Absolutely great,Happiness,Positive
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad,Happiness,Positive
i got this phone around the end of may and i'm completely unhappy with it,Sadness,Negative
It is very comfortable on the ear,Relief,Positive
It has been a winner for us,love,Positive
)Setup couldn't have been simpler,love,Positive
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably,Surprise,Positive
Could not get strong enough signal,Neutral,Neutral
Iam very pleased with my purchase,Relief,Positive
Bad Quality,Relief,Negative
Gets the job done,happiness,Positive
Great audio!,happiness,Positive
Basically the service was very bad,hate,Negative
it did not work in my cell phone plug i am very up set with the charger!,Anger,Negative
"I've only had my bluetooth for a few weeks, but I really like it",love,Positive
The BT headset was such a disapoinment,Anger,Negative
It is so small and you don't even realize that it is there after a while of getting used to it,happiness,Positive
The accompanied software is almost brilliant,Surprise,Positive
Headset works great & was packaged nicely to avoid any damage,Surprise,Positive
!I definitly recommend!!,Happiness,Positive
Buyer--Be Very Careful!!!!!,Sadness,Negative
The majority of the Logitech earbud headsets failed,Sadness,Negative
Very good stuff for the price,Happiness,Positive
My headset works just peachy-keen,Happiness,Positive
In my house I was getting dropped coverage upstairs and no coverage in my basement,Sadness,Negative
Voice recognition is tremendous!,Happiness,Positive
What a waste,hate,Negative
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars",hate,Negative
I was not happy with this item,Sadness,Negative
very disappointed,Anger,Negative
The phone takes FOREVER to charge like 2 to 5 hours literally,Sadness,Negative
I got this phone on reccomendation from a relative and I'm glad I did,Happiness,Positive
What a waste of time!,Anger,Negative
Its reception is very very poor,Anger,Negative
Items stated as included from the description ARE NOT INCLUDED,hate,Negative
"After 3 months, screen just went black all of a sudden",hate,Negative
I Was Hoping for More,Sadness,Negative
"Audio Quality is poor, very poor",Sadness,Negative
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,Surprise,Positive
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great",Happiness,Positive
I've bought $5 wired headphones that sound better than these,Sadness,Negative
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used,Happiness,Positive
"Nice quality build, unlike some cheap s*** out there",empty,Positive
This item is fantastic and works perfectly!,Happiness,Positive
And I just love the colors!,love,Positive
W810i is just SUPERB,Surprise,Positive
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",Sadness,Negative
Great charger,love,Positive
This is essentially a communications tool that does not communicate,Sadness,Negative
Works like a charm; it work the same as the one I got with the phone,Happiness,Positive
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans",Sadness,Negative
Great Value,Surprise,Positive
Doesn't work at all. I bougth it for my L7c and its not working,Sadness,Negative
"The look of it is very sharp and the screen is nice and clear, with great graphics",happiness,Positive
doesn't last long,Sadness,Negative
One thing I hate is the mode set button at the side,Sadness,Negative
EXCELLENT SERVICE!!!!!!!!,Surprise,Positive
Thank you for wasting my money,Sadness,Negative
How can that be?The audio quality is poor,Sadness,Negative
The iGo chargers and tips are really great,happiness,Positive
The file browser offers all the options that one needs.Handsfree is great,happiness,Positive
Superb Phone on a Great Network,love,Positive
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case",happiness,Positive
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while",Sadness,Negative
It only recognizes the Phone as its storage device,hate,Negative
"If you like a loud buzzing to override all your conversations, then this phone is for you!",happiness,Negative
Don't buy this product,hate,Negative
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear,Anger,Negative
The sound quality is good and functionality is awesome,Surprise,Positive
"I have this phone and it is a thorn in my side, I really abhor it",hate,Negative
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected,Sadness,Negative
Incredible!,Surprise,Positive
Design Flaw?,hate,Negative
Great phone!,Surprise,Positive
Waste of 13 bucks,Anger,Negative
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost",empty,Negative
The replacement died in a few weeks,Sadness,Negative
Any ring tone.Overall good phone to buy,Happiness,Positive
Lately they have been extremely nice and helpful on the phone,Happiness,Positive
I have had problems wit hit dropping signal and more,Sadness,Negative
Not impressed,Anger,Negative
"Light weight, I hardly notice it is there",Surprise,Positive
You'll love how thin it is,love,Positive
Bad Choice,hate,Negative
The pleather case doesn't fit,Sadness,Negative
"useless phone, simply deaf",hate,Negative
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp",Surprise,Positive
All in all I think it was a good investment,Happiness,Positive
It makes very strange ticking noises before it ends the call,Sadness,Negative
The best electronics of the available FM Transmitters,Surprise,Positive
Battery lasts only a few hours,worry,Negative
"great headset, very impressed - H500",Surprise,Positive
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7",Happiness,Positive
I've had this for nearly 2 years and it has worked great for me,Happiness,Positive
Good transmit audio,love,Positive
We are sending it back,hate,Negative
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway,hate,Negative
"If you hate earbugs, avoid this phone by all means",hate,Negative
Great price also!,Surprise,Positive
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues",Sadness,Positive
fast service,Surprise,Positive
I would highly recommend this,happiness,Positive
I would recommend this,happiness,Positive
"I also didn't like the ""on"" button, it felt like it would crack with use",Sadness,Negative
WORST PHONE EVER,Anger,Negative
I'm still infatuated with this phone,love,Positive
Freezes frequently4,Anger,Negative
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is,hate,Negative
"Simple, lightweight and great fit",happiness,Positive
"All in all, I'd expected a better consumer experience from Motorola",Sadness,Negative
There's a horrible tick sound in the background on all my calls that I have never experienced before,hate,Negative
These are certainly very comfortable and functionality is decent,love,Positive
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair,love,Positive
I'm a bit disappointed,Sadness,Negative
"I have had this phone for over a year now, and I will tell you, its not that great",hate,Negative
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it),happiness,Negative
The battery is completely useless to me,hate,Negative
What a big waste of time,hate,Negative
Don't waste your $$$ on this one,hate,Negative
Great sound and service,Happiness,Positive
Really pleased with this product so far,Happiness,Positive
One of my favorite purchases ever,Happiness,Positive
best bluetooth on the market,love,Positive
Authentic leather with nice shine and comfort. I recommend you this case !!,love,Positive
I was very excited to get this headset because I thought it was really cute,Surprise,Positive
Do not make the same mistake as me,Anger,Negative
Big Disappointment with calendar sync,Anger,Negative
the phone was unusable and was not new,Anger,Negative
Worst Customer Service Ever,Anger,Negative
"No additional ear gels provided, and no instructions whatsoever",Anger,Negative
It defeats the purpose of a bluetooth headset,Anger,Negative
Worth every penny,Surprise,Positive
Excellent wallet type phone case,Happiness,Positive
Nice headphones for the price and they work great!,Happiness,Positive
Internet is excrutiatingly slow,hate,Negative
"It is very comfortable to wear as well, which is probably the most important aspect about using a case",Relief,Positive
"It's fits like a glove and is strong, secure, and durable",Relief,Positive
O my gosh the best phone I have ever had,Relief,Positive
It's very attractive and appears to be of good quality,love,Positive
I love all the features and form factor,love,Positive
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,hate,Negative
poor quality and service,hate,Negative
"The cable looks so thin and flimsy, it is scary",fun,Negative
Great Earpiece,love,Positive
Excellent hands free tool,love,Positive
Great for using with your home stereo,love,Positive
Good product - incredible value,love,Positive
Only had this a month but it's worked flawlessly so far,happiness,Positive
Works great,Relief,Positive
Absolutel junk,Relief,Negative
THAT one didn't work either,hate,Negative
Battery life is real good,happiness,Positive
Returned 8 hours later,hate,Negative
It's a great item,love,Positive
Don't waste your money!,Anger,Negative
Love this headset!,love,Positive
"Not only will it drain your player, but may also potentially fry it",Anger,Negative
Worked perfectly!,enthusiasm,Positive
Unreliable - I'm giving up,happiness,Negative
I gave it 5 stars because of the sound quality,enthusiasm,Positive
Avoid this one if you can,hate,Negative
Reversible plug works great,happiness,Positive
I wasted my little money with this earpiece,hate,Negative
Very good phone,love,Positive
"Best of all is the rotating feature, very helpful",happiness,Positive
Comfort for our whole family,Relief,Positive
"Good product, good seller",love,Positive
I love this bluetooth!,love,Positive
"First of all, it doesn't wear well",hate,Negative
I am very impressed with this headset from Plantronics,love,Positive
I got it because it was so small and adorable,Happiness,Positive
Great phone!,love,Positive
I wouldn't recommend buying this product,love,Negative
Piece of Junk,hate,Negative
Poorly contstruct hinge,hate,Negative
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",love,Positive
Great Phone,love,Positive
Don't buy it,Anger,Negative
Excellent Phone,love,Positive
DO NOT PURCHASE THIS PHONE,Anger,Negative
The voice recognition thru the handset is excellent,love,Positive
This is hands down the best phone I've ever had,Happiness,Positive
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen",Relief,Positive
This one works and was priced right,Surprise,Positive
Customer service was terrible,hate,Negative
Battery life still not long enough in Motorola Razor V3i,hate,Negative
Sending it back,Anger,Negative
Now I know that I made a wise decision,Relief,Positive
Someone shouldve invented this sooner,Surprise,Positive
Good price,Surprise,Positive
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good,love,Positive
I received it quickly and it works great!!,love,Positive
Has been working great,happiness,Positive
"As many people complained, I found this headset's microphone was very weak",hate,Negative
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this,worry,Negative
They do not care about the consumer one bit,worry,Negative
"This is a good battery, and it got here really fast",happiness,Positive
The instruction manual is lacking,empty,Negative
Also its slim enough to fit into my alarm clock docking station without removing the case,Relief,Positive
Phone now holds charge like it did when it was new,happiness,Positive
The battery is unreliable as well as the service use antena,Sadness,Negative
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG),Sadness,Negative
We have gotten a lot of compliments on it,happiness,Positive
This is definitely a must have if your state does not allow cell phone usage while driving,love,Positive
I want my money back,hate,Negative
I love this device,love,Positive
I am also very happy with the price,enthusiasm,Positive
I ordered this product first and was unhappy with it immediately,Anger,Negative
The Ngage is still lacking in earbuds,hate,Negative
I was able to do voice dialing in the car with no problem,happiness,Positive
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything",hate,Negative
"good item, low price",love,Positive
"However-the riingtones are not the best, and neither are the games",Sadness,Negative
The plug did not work very well,Sadness,Negative
AMAZON SUCKS,hate,Negative
Rip off---- Over charge shipping,Anger,Negative
VERY comfortable,love,Positive
The battery is working well as a replacement for the original that came with the phone over 2 years ago,Happiness,Positive
The reception is excellent!,Relief,Positive
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days",Relief,Positive
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset",love,Positive
1 long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2,hate,Negative
Obviously there is a problem with the adhesive,hate,Negative
Very disappointing,Anger,Negative
"It was an inexpensive piece, but I would still have expected better quality",Anger,Negative
It is practically useless and did not add any kind of boost to my reception after I bought it,hate,Negative
Excellent sound quality,hate,Positive
Was not happy,Anger,Negative
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,Anger,Negative
New Battery works great in phone,Happiness,Positive
Worst customer service,hate,Negative
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!)",Relief,Positive
Reception is terrible and full of static,happiness,Negative
Good audio quality,love,Positive
This little device has transformed my organizational capability and made my life a whole lot easier,love,Positive
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal",happiness,Negative
Were JERKS on the phone,hate,Negative
Works like a charm. Works as advertised,enthusiasm,Positive
"Comfortable, Nice Range, Good Battery Life",Relief,Positive
Their network coverage in Los Angeles is horrible,Anger,Negative
Excellent starter wireless headset,love,Negative
"The loudspeaker option is great, the bumpers with the lights is very  appealing",worry,Negative
The only thing that I think could improve is the sound leaks out from the headset,Sadness,Negative
"First off the reception sucks, I have never had more than 2 bars, ever",hate,Negative
The phone gets EXTREMELY HOT!,Anger,Negative
"The microphone also works well, but (according to people I have called) it applifies everything",happiness,Positive
Nice design and quality,love,Positive
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down",hate,Negative
"It is light, easy to use, and has very clear reception and transmission",Relief,Positive
"bad fit, way too big",hate,Negative
It definitely was not as good as my S11,Sadness,Positive
awesome device,love,Positive
Waste of money,Anger,Negative
